Country Name,"Country Code","2007 [YR2007] - Population growth (annual %) [SP.POP.GROW]","2007 [YR2007] - GDP (current US$) [NY.GDP.MKTP.CD]"
Ecuador,"ECU","1.7181335805958","51007777000"
"Egypt, Arab Rep.","EGY","1.95167431348286","130437828371.278"
El Salvador,"SLV","0.160532322783851","17011750000"
Equatorial Guinea,"GNQ","4.68160680952619","13071718758.7373"
Eritrea,"ERI","1.58711319244676","1317974491.05691"
Estonia,"EST","-0.456188535090031","22449129482.617"
Eswatini,"SWZ","0.580366640025196","3469381231.49049"
Ethiopia,"ETH","2.85154384116412","19707616772.7996"
Fiji,"FJI","0.853009376352656","3378314599.76402"
Finland,"FIN","0.425429832100631","256378067752.158"
France,"FRA","0.616493932446319","2660591246211.77"
Gabon,"GAB","3.09560977258065","12455409587.3371"
"Gambia, The","GMB","3.08345897475552","1279703047.0221"
Georgia,"GEO","-0.521646734447263","10172931088.5655"
Germany,"DEU","-0.133718572600486","3425578382921.58"
Ghana,"GHA","2.60546378550717","24827339138.4906"
Greece,"GRC","0.254757581935775","318902829550.733"
Grenada,"GRD","0.661840745939182","758683592.592593"
Guatemala,"GTM","1.97596216713401","33567850824.1039"
Guinea,"GIN","2.29335572388692","6281917649.94033"
Guinea-Bissau,"GNB","2.54710395639989","696910784.011006"
Guyana,"GUY","-0.243714507438187","2730971595.39574"
Haiti,"HTI","1.65399026348443","9228637766.35319"
Honduras,"HND","2.28811343765187","12361257680.5627"
Hungary,"HUN","-0.154915158060948","140186716681.425"
Iceland,"ISL","2.53008548940662","21652505596.7528"
India,"IND","1.46637175001498","1216736438842.41"
Indonesia,"IDN","1.31184759614566","432216737774.861"
"Iran, Islamic Rep.","IRN","1.4536370817991","349881601462.439"
Iraq,"IRQ","-0.850221916193164","88837055195.2619"
Ireland,"IRL","2.89096000464164","270079279419.5"
Israel,"ISR","1.7761008691798","184052121662.082"
Italy,"ITA","0.504933687397673","2213102482751.46"
Jamaica,"JAM","0.42891014375515","12799600047.1845"
Japan,"JPN","0.114908847726211","4579750920354.81"
Jordan,"JOR","6.34380871094335","17110437235.543"
Kazakhstan,"KAZ","1.14385123349431","104849915058.376"
Kenya,"KEN","2.96582480091057","31958195182.2406"
Kiribati,"KIR","1.89533635203291","132674851.389707"
"Korea, Dem. People's Rep.","PRK","0.496973102800538",""
"Korea, Rep.","KOR","0.505234032920336","1172614086539.86"
Kuwait,"KWT","5.88896046397853","114634043361.692"
Kyrgyz Republic,"KGZ","0.953586964300523","3802570552.56105"
Lao PDR,"LAO","1.58087153393389","4223152219.21266"
Latvia,"LVA","-0.816175506582982","31054350977.9784"
Lebanon,"LBN","1.88355982920981","24827355014.9254"
Lesotho,"LSO","0.337605696087044","1682131784.51365"
Liberia,"LBR","5.00498279274666","1373000000"
Libya,"LBY","2.05147873321277","68032985519.1"
Liechtenstein,"LIE","0.745302497633524","4601429897.21468"
Lithuania,"LTU","-1.187947957259","39697891351.9431"
Luxembourg,"LUX","1.54438684650549","51587401415.7872"
Madagascar,"MDG","2.92652452166253","8524620889.57747"
Malawi,"MWI","2.83448193292953","6451210219.11683"
Malaysia,"MYS","2.17608980403121","193549569477.733"
Maldives,"MDV","3.35435582926146","1868383459.84347"
Mali,"MLI","3.30208691127537","8156468826.12645"
Malta,"MLT","0.348755082369901","7925371458.80527"
Marshall Islands,"MHL","-0.314099624496591","149870000"
Mauritania,"MRT","2.31869406123366","4346212355.02975"
Mauritius,"MUS","0.455526400702738","8150150209.22501"
Mexico,"MEX","1.31623681916458","1102355554788.94"
"Micronesia, Fed. Sts.","FSM","-0.699624839506227","256787200"
Moldova,"MDA","-0.231718324871942","4401173151.93767"
Monaco,"MCO","-0.589029493886293","5875790766.2621"
Mongolia,"MNG","0.940879931171425","4234999703.90059"
Montenegro,"MNE","0.138110347731053","3680711743.77224"
Morocco,"MAR","1.28772191974814","86947913286.728"
Mozambique,"MOZ","2.59213192117964","10811456005.9405"
Myanmar,"MMR","0.740412549138029","20182477480.5512"
Namibia,"NAM","1.2473242341721","8839536475.99963"
Nauru,"NRU","-0.262633291373521",""
Nepal,"NPL","0.731449423498353","10325618017.379"
Netherlands,"NLD","0.217521601194242","848558887541.179"
New Zealand,"NZL","0.932407687512324","137188946865.584"
Nicaragua,"NIC","1.39429680103578","7423365339.17706"
Niger,"NER","3.64120636284668","5731485051.79069"
Nigeria,"NGA","2.70962693730599","278260846800.103"
North Macedonia,"MKD","0.16313293218841","8336474973.72949"
Norway,"NOR","1.03473451527827","402643260487.572"
Oman,"OMN","1.74406111328877","42085379453.8362"
Pakistan,"PAK","2.14152397156301","184140869997.46"
Palau,"PLW","-1.29795332493524","198897700"
Panama,"PAN","1.85414918870892","21295984200"
Papua New Guinea,"PNG","3.12366111372057","9545028944.34579"
Paraguay,"PRY","0.997237882485964","17856393235.4338"
Peru,"PER","0.769759369616088","102170981144.136"
Philippines,"PHL","1.87034863111627","155980408673.403"
Poland,"POL","-0.0543050208038707","429020755432.721"
Portugal,"PRT","0.196304384487306","240496147317.381"
Qatar,"QAT","19.360428664312","79712087912.0879"
Romania,"ROU","-1.47722298197717","174588782938.583"
Russian Federation,"RUS","-0.17108203294568","1299703478481.65"
Rwanda,"RWA","2.6937067262308","4070746222.26691"
Samoa,"WSM","0.578640418070375","573548459.833372"
San Marino,"SMR","1.36913510961371","2185874623.59704"
Sao Tome and Principe,"STP","2.45564683066573","149146918.888611"
Saudi Arabia,"SAU","3.92920488472079","415964583059.205"
Senegal,"SEN","2.63281190597884","13994218412.9619"
Serbia,"SRB","-0.405458541825536","43170990616.4729"
Seychelles,"SYC","0.510514982843497","1077308813.82945"
Sierra Leone,"SLE","2.20265426987169","2126679543.58623"
Singapore,"SGP","4.16600286360933","180941701357.97"
Slovak Republic,"SVK","0.0291784011934372","86563986799.2505"
Slovenia,"SVN","0.559207815536831","48067401207.3978"
Solomon Islands,"SLB","2.2422684243981","695295347.621537"
Somalia,"SOM","3.04199150056875",""
South Africa,"ZAF","1.01387721267549","333077117253.684"
Spain,"ESP","1.85108130845179","1474002579820"
Sri Lanka,"LKA","1.04107236247173","32350238760.4239"
St. Kitts and Nevis,"KNA","0.300354899935738","689285185.185185"
St. Lucia,"LCA","0.627569517206789","1336088814.81481"
St. Vincent and the Grenadines,"VCT","-0.542631060920161","713596666.666667"
Sudan,"SDN","2.78996436965565","59440139774.8128"
Suriname,"SUR","1.12823575341268","2936612021.85792"
Sweden,"SWE","0.741552514625445","491252589217.021"
Switzerland,"CHE","0.893690977823134","490740715594.802"
Syrian Arab Republic,"SYR","6.33572039641122","180030111358.575"
Tajikistan,"TJK","1.83882431198902","3719524180.7389"
Tanzania,"TZA","2.80637123627598","21860434823.4808"
Thailand,"THA","0.761916078459878","262942621455.053"
Timor-Leste,"TLS","2.46277702115281","542795400"
Togo,"TGO","2.90743917538544","3759962853.26476"
Tonga,"TON","0.420997859015547","298519024.14082"
Trinidad and Tobago,"TTO","0.575137910503384","21641620049.9352"
Tunisia,"TUN","0.919463523549751","38915353866.757"
Turkiye,"TUR","0.796771832584536","681321124295.914"
Turkmenistan,"TKM","1.42031742897792","12664165103.1895"
Tuvalu,"TUV","1.17945764928369","28450168.692765"
Uganda,"UGA","2.93354099227772","11902564494.8833"
Ukraine,"UKR","-0.596871080118823","148733861386.139"
United Arab Emirates,"ARE","18.1279839755253","257916133424.098"
United Kingdom,"GBR","0.778666112441256","3090510204081.63"
United States,"USA","0.951055242772428","14474226905000"
Uruguay,"URY","0.19152206004265","23797773024.3992"
Uzbekistan,"UZB","1.42347489680303","22311393927.8817"
Vanuatu,"VUT","2.40312228258581","516392922.513728"
"Venezuela, RB","VEN","1.5487692066186","230364012575.687"
Viet Nam,"VNM","0.96076781166711","77414425532.2452"
"Yemen, Rep.","YEM","3.02768141948774","21650528674.0933"
Zambia,"ZMB","3.53292144460649","14056957976.2648"
Zimbabwe,"ZWE","0.969118750298355","5291950100"
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 05/30/2024,"","",""
